Description,Item,Unit,Cost
GRILLETE FORJ GALV   3/8  x   7/16,424595737,PZ,171
MACHO URANGA A/ALEADO M 12 x 1.25,450804615,PZ,171.6
CORTAFRIO GHERARDI HEXAG 18-21 350,450814669,PZ,172.77
HERRADURA ACANALADA PESADA 3,450817113,PZ,174.72
CABO P/RASTRILLO 1.35 MT,450813292,PZ,175.39
PALA MAGER PUNTA     C/LARGO,450811167,PZ,175.5
MECHA FIBRA DE VIDRIO 13.5 MM,424581684,RL,175.94
GANCHO CONTRA VIENTO 23 - 130 x 25,424571103,PZ,176
MECHA NEIKE WIDIA CORTA  3 MM,450303096,RL,176.62
BROCHE A PALANCA HO CINCADO,450303102,RL,176.62
TIJERA GHERARDI PODAR RTO-TORNILLO,424595586,PZ,176.79
PALA GHERARDI FORJ 1/2 L ANGOST C/L,450814189,PZ,177.61
REGULADOR PAZ P/GARR C/MANG 1.50 MT,424572801,PZ,177.71
CLAVO ESCUADRA PUL 14 -  35,450905802,PZ,180
MENSULA DOBLE ALUM   570 MM,413051001,PZ,180.6
GANCHO CONTRA VIENTO 20 -  70 x 50,450905841,PZ,180.65
MECHA EZETA WIDIA LARGA 400  8 MM,424581233,PZ,180.74
GANCHO PLASTICO P/SOGA ELASTICA,450812680,PZ,180.75
CADENA P/PERRO N. 9 LARGO 1.70 MT,450901038,PZ,181.52
MECHA EZETA WIDIA BOSCH 14 x 160 MM,450819830,PZ,181.6
MACHO URANGA A/ALEADO M  7 x 0.75,450812190,PZ,181.63
TORNILLO TIRAFONDO GALV 3/8 x1 3/4,451305329,PZ,181.64
MACHO TAP A/LAMINADO NF  1/8  x 44,424589943,PZ,182
MECHA EZETA CILIND TITANIO  9.00 MM,424574057,PZ,182.52
MECHA NEIKE WIDIA LARGA 250  8 MM,450813002,PZ,184.04
MECHA MAX PLANA P/MAD 1,422003013,PZ,184.39
MAQ ZONTA PERF RTO-ALESADOR,450818698,PZ,185
BANDA AA TELA  75x610 O/A MAD G. 50,450818604,PZ,185.14
TEJ ROMBO ACINDAR 180-50-12-10 ML,451305263,PZ,185.25
CANDADO 606 IMPO 60 MM TRABA DOBLE,451305641,PZ,185.25
CLAVO C/PIZARRA 16-40,450803700,PZ,185.28
CABLE ACERO FORRADO x 100 MT,424564958,PZ,186.16
MECHA EZETA CILINDRICA A/R  3.50 MM,451305201,PZ,186.91
CAÃ‘O CRISTAL  9 - 12  x  50 MT,424564959,PZ,186.95
PITON S/TOPE ESCUAD  P/TACO 12 x 20,424573037,PZ,186.95
ABRAZ AMERICANA 3003    35 -  45 MM,450817083,PZ,187.1
CAÃ‘O CRISTAL  3 -  6  x 100 MT,450901259,PZ,187.77
TOR P/AGUJ C/TROMP P/MAD  6 x 2 1/4,450409096,PZ,187.774020641
MECHA EZETA CILINDRICA A/R 13.75 MM,451301263,PZ,190.46
MECHA EZETA CILINDRICA A/R 14.00 MM,451301264,PZ,190.46
MECHA EZETA CILINDRICA A/R 14.25 MM,451301265,PZ,190.46
MECHA EZETA CILINDRICA A/R 14.50 MM,451301266,PZ,190.46
MECHA EZETA CILINDRICA A/R 14.75 MM,451301267,PZ,190.46
TOR P/MECHA C/FIJAD-PHIL  6 x   5/8,450812850,PZ,190.56
CORREA SECCION A N.55,413063056,PZ,190.58
TORNILLO TIRAFONDO GALV 3/16x1,451305274,PZ,190.76
TORNILLO TIRAFONDO GALV 3/16x1 1/4,451305275,PZ,190.76
TORNILLO TIRAFONDO GALV 5/16x1,451305309,PZ,190.76
MACHO URANGA A/RAPIDO M  8 x 0.75,451305310,PZ,190.76
CANDADO 606 IMPO 20 MM TRABA SIMPLE,451305642,PZ,190.76
TOR P/AGUJ C/TROMP P/MAD  6 x   3/4,450409090,PZ,191.114785426
MECHA EZETA DOBLE PUNTA 2.75 MM,424585138,PZ,191.95
MECHA EZETA WIDIA BOSCH 25 x 460 MM,450804920,PZ,192.21
MECHA EZETA COLA CONICA 16.75 MM,450600387,RL,192.4
CUCHARA GHERARDI FORJ N. 8,450813954,PZ,193.76
MECHA EZETA COLA CONICA 39.25 MM,450803948,PZ,194.11
GRIFERIA VENUS DUCHA ARTIC CROMO,450813090,PZ,194.58
FRATACHO PINO 12 x 30 CM,450409148,PZ,194.685947781
ARGOLLA GUADAÃ‘A REF C/TORNILLO,424595587,PZ,194.75
ABRAZ AMERICANA 3008    80 -  95 MM,450600307,MT,195.14
MECHA EZETA CILIND TITANIO  9.25 MM,424572799,PZ,197.39
CABLE ACERO 19.0 MM 6 x 19+1,424587965,PZ,197.6
PITON HO PUL ESCUAD  17 -  40 x 200,450812117,PZ,197.8
TORNILLO TIRAFONDO GALV 3/16x1 1/2,451305276,PZ,198.55
MECHA EZETA COLA CONICA 12.25 MM,450800826,PZ,198.74
TENDEDERO PIE PLEG 7 V CAÃ‘O  C/ALAS,450813838,PZ,199.1
MAQ P/RALLAR RTO-MANIJA,424575403,PZ,199.13
MECHA EZETA CILIND TITANIO  2.00 MM,424589282,PZ,199.604973
MECHA EZETA COLA CONICA 43.75 MM,450819949,PZ,200
TABLA PLANCHAR RTO-FUNDA,424561823,PZ,200.72
CARRETILLA CUART RUEDA GOMA  MACIZA,424563345,PZ,200.72
BANDA AA TELA  50x478 O/A MET G. 24,424595624,PZ,201.77
CAÃ‘O HIDROCARBURO  9 - 15  x 50 MT,451305595,PZ,202.35
CLAVO CAJ PULIDO 18-164 x 20 KG,450814237,PZ,202.41
MECHA EZETA WIDIA CORTA 13 MM,424570568,PZ,202.43
LIJA AA FENOB G. 60   120 x 45000,450802235,PZ,202.8
MECHA BIASSONI P T E  7/16  LARGA,450805293,PZ,202.8
TORNILLO TIRAFONDO GALV 3/8 x2,451305330,PZ,204.06
GRIFERIA VENUS BIDET CROMO,450811892,MT,204.31
TOR P/AGUJ C/TROMP P/MAD  6 x 2 1/2,450409097,PZ,204.593043349
BANDA AA TELA  50x478 O/A MET G. 36,424595620,PZ,204.74
GRAMPA PRENSA CABLE GALV 1,450813272,PZ,204.93
MECHA EZETA CILINDRICA A/R  3.75 MM,451305206,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  4.00 MM,451305208,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  4.25 MM,451305209,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  4.50 MM,451305210,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  4.75 MM,451305211,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  5.00 MM,451305212,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  5.25 MM,451305213,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  5.50 MM,451305214,PZ,206.779229425
MECHA EZETA CILINDRICA A/R  5.75 MM,451305215,PZ,206.779229425
CORTINA P/BAÃ‘O RTO-PROTECT BLANCO,450813426,PZ,206.82
FLEX DUKE PLAST CONEX MET 1/2 x 40,450821306,PZ,207
TEJ ROMBO ACINDAR 150-76-14-10 ML,451305246,PZ,207.48
TORNILLO TIRAFONDO GALV 3/16x2 3/4,451305293,PZ,207.48
CADENA P/PERRO N.15 LARGO 1.40 MT,424590201,BK,207.6
ARCO SIERRA CARNICERO RTO-HOJA 520,450302952,PQ,207.79
BROCA MANUAL UR36 3/16,450805263,PZ,208
MECHA EZETA COLA CONICA 54.00 MM,424500809,PZ,210
TORNILLO TIRAFONDO GALV 1/4 x3 1/4,451305304,PZ,210.14
MECHA EZETA COLA CONICA 11.75 MM,450814633,PZ,210.46
MECHA EZETA JUEGO WIDIA CORTA x 4 U,450302955,PQ,210.86
LIJA AA GOLD 24K  G.280,424595679,PZ,211.18
MECHA EZETA WIDIA BOSCH 18 x 210 MM,450813591,PZ,212.13
MECHA EZETA COLA CONICA 28.75 MM,450813119,PZ,213
MECHA EZETA DOBLE PUNTA 3.60 MM,424580048,PQ,213.04
CABO P/PALA 0.70 MT EMPUNAD PLAST,424582556,PQ,213.04
MACHO URANGA A/ALEADO BSP  3/8 x 19,424572391,PZ,213.2
MACHO URANGA A/ALEADO NC     6 x 32,424599828,PZ,213.26
MECHA NEIKE WIDIA LARGA 400  6 MM,424590108,BK,214.71
CONEXION FUELLE INODORO,424593686,PZ,214.77
MECHA EZETA CILINDRICA A/R 17.00 MM,424501688,PZ,216.22
CADENA P/PERRO N.18 LARGO 1.40 MT,422501878,CJ,216.32
MECHA EZETA COLA CONICA 59.00 MM,422003019,PZ,216.7
CLAVO C/PIZARRA 16-35,424589312,PZ,217.79
GRIFERIA VENUS LAVAT SIMPLE CROMO,424504951,PZ,218.5
TORNILLO TIRAFONDO GALV 1/4 x1,451305295,PZ,218.88
TORNILLO TIRAFONDO GALV 1/4 x3 1/2,451305305,PZ,218.88
CANDADO 606 IMPO 25 MM TRABA SIMPLE,451305598,PZ,218.88
MECHA MAX PLANA P/MAD    7/8,422003006,PZ,219.66
CLAVO C/CHATA 12-25,450818808,PZ,220
PITON C/TOPE ABIERTO BCE 18-45 x100,424561673,PZ,220.34
MECHA EZETA COLA CONICA 26.25 MM,450802973,PZ,220.48
MECHA EZETA COLA CONICA 17.00 MM,450810918,PZ,220.99
CLAVO C/PIZARRA 16-25,424589310,PZ,221.06
CLAVO C/PIZARRA 16-30,424589311,PZ,221.06
RIEL DOBLE ALUM   1.00 MT,450818619,PZ,221.52
MECHA EZETA WIDIA BOSCH  8 x 300 MM,424570567,PZ,221.53
CLAVO PUNTA PARIS 6      x 20 KG,424589305,PZ,221.57
CLAVO PUNTA PARIS 7      x 20 KG,424589306,PZ,221.57
CLAVO PUNTA PARIS 8      x 20 KG,424589307,PZ,221.57
CLAVO C/PIZARRA 16-20,424589308,PZ,221.57
BANDA AA TELA  75x508 O/A MAD G.100,450814541,PZ,222.05
MECHA EZETA WIDIA BOSCH 20 x 200 MM,450804927,PZ,222.06
CINTA TEFLON    3/4 x 20 MT,424585139,PZ,223.18
GRIFERIA VENUS LAVAT C/MEZC BLANCO,450801197,PZ,224.22
GRILLETE FORJ GALV   9/16 x   5/8,450814216,PZ,224.66
LIJA AA GOLD 24K  G.240,424595681,PZ,225.51
MECHA EZETA CILINDRICA A/R  9.25 MM,424589313,PZ,226.5
GRAMPA P/CORREA N.55,413063905,PZ,228.08
CABO P/PALA 0.70 MT EMPUNAD METAL,450812456,PZ,228.36
MECHA EZETA CILINDRICA A/R  2.50 MM,424589503,PZ,228.61
MECHA EZETA CILINDRICA A/R 19.25 MM,424589498,PZ,228.64
MECHA EZETA CILINDRICA A/R  9.00 MM,424589499,PZ,228.64
MECHA EZETA CILINDRICA A/R  8.75 MM,424589500,PZ,228.64
MECHA EZETA CILINDRICA A/R  2.75 MM,424589501,PZ,228.64
MECHA EZETA CILINDRICA A/R 19.00 MM,424589502,PZ,228.64
TELA M/SOMBRA 100 MT GRIS       90%,424583420,CJ,228.8
MECHA EZETA COLA CONICA 45.00 MM,450818807,PZ,228.8
MECHA EZETA CILINDRICA A/R  9.50 MM,424589309,PZ,230.43
CADENA P/PERRO N.11 LARGO 1.70 MT,450901037,PZ,231.31
CAÃ‘O HIDROCARBURO  7 - 11  x 50 MT,451305593,PZ,231.61
TORNILLO TIRAFONDO GALV 1/4 x1 1/4,451305296,PZ,232.37
MECHA EZETA WIDIA BOSCH 10 x 160 MM,424572037,PZ,232.81
LIJA AA COLORADO RUBI G. 80 GRU,450803954,PZ,232.96
TORNILLO TIRAFONDO GALV 3/16x2 1/4,451305291,PZ,235.22
SELLADOR S-28 SILIC TRANSP 300 GR,450802573,PZ,235.77
TORNILLO TIRAFONDO GALV 1/4 x2 1/4,451305300,PZ,238.26
GUANTE LATEX P/LARGO MEDIANO,424589634,PZ,238.83
BALDE PLAST ALBAÃ‘IL VOSS 2000,424589620,PZ,240.26
LIJA AA GOLD 24K  G.800,424595602,PZ,241.71
BANDA AA TELA 100x620 O/A MAD G. 36,424595603,PZ,241.71
MARTILLO 2228 RTO-CABEZA DIAM 27,450812248,PZ,243.23
CABO P/MARTILLO LABRADO 0.40 MT,450904802,PZ,243.36
CAJA METALICA F1 20x20x32 2 FUELLES,450409333,PZ,244.15
REGULADOR P/GARR S/MANGUERA     IMP,451305544,PZ,244.15
CINTA EVEL 502 FLEJE 17MM   2 MT,424564496,PZ,245.11
ADHESIVO DUKE P/PVC  100 CM3,450812073,PZ,245.42
MAQ HORMIGONERA S/MOTOR,424588388,PZ,245.8
TELA M/SOMBRA  50 MT VERDE-BLAN 80%,422003014,PZ,245.86
TELA M/SOMBRA 100 MT VERDE-BLAN 80%,422003009,PZ,246.25
CABLE ACERO  4.0 MM 6 x 19+1,424599966,RL,246.48
RIEGO KIT MANGUERA 1/2 x 25 MTS,424588919,PZ,247.09
CINTA EVEL 603 CAJA ZAMAC   3 MT,413062553,PZ,247.55
ELECTRODO ESAB P/AZUL 2.50 MM,450814544,PZ,248.02
CINTA PELIGRO 8 CM x 100 MT,413062006,PZ,248.72
BIS FICHA P/SOLD REF 100-33   x 2.5,450800036,PZ,248.93
MECHA EZETA CILINDRICA A/R  2.00 MM,451305232,PZ,249.095664214
MECHA EZETA CILINDRICA A/R  8.50 MM,451305233,PZ,249.095664214
MECHA EZETA CILINDRICA A/R  1.50 MM,451305234,PZ,249.095664214
MECHA EZETA CILINDRICA A/R  1.25 MM,451305235,PZ,249.095664214
MECHA EZETA CILINDRICA A/R  8.25 MM,451305236,PZ,249.095664214
MECHA EZETA CILINDRICA A/R  8.00 MM,451305237,PZ,249.095664214
INSEC ALLEMANDI YARARA TARRO 12x1KG,451305359,PZ,249.66
GANCHO CONTRA VIENTO 26 - 190 x 10,424500054,PZ,250
MARTILLO 2236 RTO-CABEZA DIAM 35,450813900,PZ,252.95
PITON HO PUL ESCUAD  22 -  80 x 100,413051796,PZ,255.37
TOR P/AGUJ C/TROMP P/MAD  8 x 1,450409098,PZ,255.395707829
TOR P/AGUJ C/TROMP P/MAD  8 x 1 1/2,450409099,PZ,255.395707829
MECHA EZETA COLA CONICA 49.75 MM,451100020,PZ,255.84
MECHA EZETA CILIND TITANIO  8.00 MM,424580340,PZ,256.1
INSEC ALLEMANDI YARARA BOLSA 20x1KG,451305360,PZ,256.31
MAQ HORMIGONERA RTO-CORONA,450803614,PZ,256.36
BANDA AA TELA  75x610 O/A MAD G.120,450814840,PZ,257.64
CAÃ‘O CRISTAL  8 - 11  x  50 MT,424562377,PZ,257.92
CADENA NUDO N.17,450812780,PZ,258.22
GANCHO J P/GALPON      1/4 x  50 MM,451305183,PZ,258.75
CADENA P/PERRO N.17 LARGO 1.40 MT,424582573,PQ,259.08
CORREA SECCION A N.35,450813074,PN,259.5
CANILLA RTO-PICO BCE CROMADO   3/4,413052449,PZ,259.98
CADENA ENGANCHE N. 4 HO GALVANIZADO,424580022,PZ,262.86
GRINFA EL ROBLE ACERO FORJADO N. 6,424595590,PZ,262.95
MACHETE GHERARDI N.22  558 MM,424595591,PZ,262.95
MACHETE GHERARDI N.20  510 MM,424595592,PZ,262.95
GRINFA EL ROBLE ACERO FORJADO N.12,424595593,PZ,262.95
REGADERA CHAPA GALV N.3  12 LT,413051484,PZ,263.04
CANDADO 606 IMPO 30 MM TRABA SIMPLE,451305599,PZ,263.15
BANDA AA TELA 100x620 O/A MAD G. 60,424595640,PZ,263.69
BANDA AA TELA 100x620 O/A MAD G. 50,424595641,PZ,263.69
BANDA AA TELA 100x620 O/A MAD G. 40,424595642,PZ,263.69
PINZA GHERARDI PICO LORO 230 MM,424595643,PZ,263.69
BANDA AA TELA  50x478 O/A MET G.180,424595644,PZ,263.69
LIJA AA GOLD 24K  G.600,424595645,PZ,263.69
MACHO URANGA A/RAPIDO NC 1     x  8,451305362,PZ,264.86
ESCUADRA PLANA GALV  25 x 10 MM,450409258,PZ,265.072405825
ESPATULA S JUANA PINTOR 90 MM,450409259,PZ,265.072405825
ESPATULA S JUANA PINTOR 80 MM,450409260,PZ,265.072405825
ESPATULA S JUANA PINTOR 70 MM,450409261,PZ,265.072405825
ESPATULA S JUANA PINTOR 60 MM,450409262,PZ,265.072405825
CABEZAL P/CORTINA MOSQUERA 100 CM,451305629,PZ,266.76
RIEGO LLUVIA  ACOPLE RAPIDO,450812444,PZ,267.33
MECHA EZETA COLA CONICA 21.50 MM,450813762,PZ,267.43
PALANQ  LAMINADA 1045 101.60 MM,424589776,PZ,270.25
CORREA SECCION O N.18,450813803,PZ,270.76
LIJA AA COLORADO RUBI G. 50 E/G,450811165,PZ,270.96
PITON C/TOPE CERRADO BCE 18-45 x100,450804290,PZ,272.33
COLA A-10 SINTETICA x  6       KG,451305563,PZ,272.65
GANCHO ESTIRA TEJ GALV 3/8  x  5,450802758,PZ,273.02
PITON S/TOPE ABIERTO P/TACO  4 x100,450800722,PZ,275.81
GUARDACABO GALV   3/8,450802205,PZ,277.03
TORNILLO TIRAFONDO GALV 1/4 x1 1/2,451305297,PZ,277.97
COLA A-20 SINTETICA x     1/8  KG,451305564,PZ,277.97
MECHA EZETA CILIND TITANIO 12.50 MM,424572800,PZ,279.16
MECHA EZETA CILIND TITANIO  9.50 MM,424574235,PZ,280.11
GANCHO ESTIRA TEJ GALV 3/8  x  7,450900685,PZ,282.9
LIJA AA FENOB G.100   150 x 45000,450813723,PZ,283.3
TORNILLO TIRAFONDO GALV 1/4 x2 1/2,451305301,PZ,283.86
SEMILLA REFORZADA N. 6,450812346,GL,284.02
MACHO URANGA A/RAPIDO M  4 x 0.50,451305363,PZ,286.71
LIJA AA GOLD 24K  G. 80,424594596,PZ,286.91
MECHA EZETA COLA CONICA 17.25 MM,450811495,PZ,289.17
GANCHO ESTIRA TEJ GALV 3/8  x 11,450800575,PZ,289.55
TORNILLO TIRAFONDO GALV 1/4 x4,451305306,PZ,289.75
INSEC ALLEMANDI YARARA BOLSA 4x5 KG,451305361,PZ,289.75
PITON HO PUL ESCUAD  24 - 100 x  50,424574250,PZ,290.64
TORNILLO TIRAFONDO GALV 3/16x3,451305597,PZ,291.65
PINZA GHERARDI PICO LORO D/CREM 175,424595594,PZ,292.37
CANILLA SIFOLIMP PVC 1/2 C/PICO,424593696,PZ,292.48
CADENA NUDO N. 6,450813902,PZ,293.7
GANCHO ESTIRA TEJ GALV 5/16 x 12,424589505,PZ,293.84
RIEGO ACOPLE RAPIDO M 1/2,450814485,PZ,294.06
CABO P/LIMA REDONDA   100 A 150 MM,450800862,PZ,294.11
LIJA AA FENOB G.120   150 x 45000,450814090,GL,294.52
CLAVO C/REDONDA 12-16,450806321,PZ,298.94
MECHA EZETA COLA CONICA 31.25 MM,450811811,PZ,299.52
MECHA EZETA CILINDRICA A/R 16.25 MM,451102265,PZ,299.98
MECHA EZETA CILINDRICA A/R 15.75 MM,451102329,PZ,299.98
CLAVO ESCUADRA PUL 23 -  80,450814094,GL,300.59
HERRADURA ACANALADA PESADA C/CLIP 5,450814095,GL,300.59
GRILLETE FORJ GALV   5/8  x   3/4,450814510,PZ,301.39
MECHA MAX PLANA P/MAD    1/2,424588271,PZ,301.6
CLAVO ESCUADRA PUL 25 - 100,424572008,PZ,301.65
CAÃ‘O CRISTAL 19 - 25  x  25 MT,450801010,PZ,301.74
PITON C/TOPE CERRADO BCE 23-80 x 25,424589764,PZ,302.22
MECHA EZETA WIDIA BOSCH 14 x 210 MM,450819829,PZ,304
MACHO URANGA A/RAPIDO BSP  1/4 x 19,424570009,PZ,304.06
MECHA EZETA COLA CONICA 11.00 MM,450812914,PZ,304.1
MECHA EZETA WIDIA LARGA 400 20 MM,424580098,PZ,304.11
CAÃ‘O CRISTAL  6 -  9  x  50 MT,424588920,PZ,304.28
CLAVO ESPIRALADO 1 1/2  x 20 KG,424574155,PZ,304.65
MACHO URANGA A/ALEADO M 14 x 1.50,450813931,PZ,304.93
PITON HO PUL ESCUAD  21 -  50 x 100,450817498,PZ,305.41
TOR P/AGUJ C/TROMP P/MAD 10 x 3,450409106,PZ,305.507179595
TOR P/AGUJ C/TROMP P/MAD 10 x 4,450409107,PZ,305.507179595
TOR P/AGUJ C/TROMP P/MAD 10 x 5,450409108,PZ,305.507179595
MAQ ZONTA PERF RTO-PALANCA PRESION,422003007,PZ,306.33
TOR P/AGUJ C/TROMP P/MAD 10 x 2,450409104,PZ,307.23516138
BANDA AA TELA  75x457 O/A MAD G. 36,424595721,PZ,309.32
AZADA GHERARDI MENDOCINA 3      LBS,424595575,PZ,311.91
HORQUILLA GHERARDI 4 PUAS C/CORTO,450409109,PZ,311.958311592
BISAGRA REVERSIBLE PULIDA  2x 3x1.5,451305194,PZ,312
MECHA EZETA COLA CONICA 21.00 MM,450814092,GL,312.01
MACHO URANGA A/RAPIDO M  8 x 1.00,451305376,PZ,312.36
COLA P-60 P/PISOS DE MAD x 25 KG,451305512,PZ,312.36
MACHO URANGA A/ALEADO BSPT 1/8 x 28,450801724,PZ,314.18
MECHA EZETA COLA CONICA 14.00 MM,450812915,PZ,315.76
MECHA MAX PLANA P/MAD   15/16,424564983,PZ,317.2
MECHA NEIKE WIDIA LARGA 400 10 MM,424580220,PZ,317.2
BIS FICHA P/SOLD REF 100-33-8 x 2.5,450813587,PZ,317.2
CEMENTO SOPLETEABLE ROJO  x 18 LT,451305497,PZ,317.87
MECHA EZETA COLA CONICA 16.00 MM,450800042,PZ,318.28
TOR P/AGUJ C/TROMP P/MAD 10 x 2 1/2,450409105,PZ,318.755039947
CADENA P/PERRO N.18 LARGO 2.20 MT,424590005,PZ,319.9
MAQ ZONTA PERFORADORA AZULEJOS,450818696,PZ,320
CORREA SECCION A N.37,450817051,PZ,320.17
ALAMB REC NEGRO N.17 1.42 MM,424561072,PZ,321.17
CUCHARIN ROBLE P/ALBAÃ‘IL N. 5 1/2,424590036,PQ,322.14
PLANCHUELA 1518 6     x   3/4,451305418,PZ,323.38
CINTA BLANCA PESADA    x 100 MT,451305419,PZ,323.38
CINTA MINISTERIO VERDE x 100 MT,451305420,PZ,323.38
CINTA MARRON LIVIANA   x 100 MT,451305421,PZ,323.38
CAÃ‘O FUM-EVA 50 BAR 10x 50 MT,451305422,PZ,323.38
CAÃ‘O ALTA PRESION ROJO  6 MM x50 MT,451305423,PZ,323.38
MACHO URANGA A/RAPIDO M  5 x 0.50,451305424,PZ,323.38
COLA A-20 SINTETICA x     200  GR,451305565,PZ,323.38
CANDADO 606 IMPO 40 MM TRABA DOBLE,451305600,PZ,323.38
GANCHO CONTRA VIENTO 27 - 190 x 10,450810637,PZ,323.47
MECHA EZETA CILINDRICA A/R  3.00 MM,451305199,PZ,325.51
CUCARACHICIDA ALLEMANDI LIQ 12x500,451305377,PZ,326.8
CLAVO PUNTA PARIS 3 1/2  x 20 KG,451102267,PZ,326.97
TEJ ROMBO ACINDAR 180-50-14-10 ML,451305252,PZ,329.46
COLA A-20 SINTETICA x     1/4  KG,451305566,PZ,329.46
CLAVO ACERO GALV 2.0 - 40 x 200,450806136,PZ,330.83
HERRADURA ACANALADA PESADA 4,450814091,GL,330.83
ENROLLADOR REGADOR C/RUEDA,450801725,PZ,332.65
TORNILLO TIRAFONDO GALV 1/4 x1 3/4,451305298,PZ,334.97
CANDADO 606 IMPO 50 MM TRABA DOBLE,451305601,PZ,334.97
GANCHO CONTRA VIENTO 26 - 210 x 10,450905698,PZ,335.34
CORTINA P/BAÃ‘O COMPLETA CELESTE,450819598,PZ,335.6
CLAVO P/PARIS FRACC  8,424500871,PZ,336.56
ADHESIVO DUKE P/PVC   50 CM3,450825853,PZ,336.6
MECHA MAX PLANA P/MAD    1/4,422002998,PZ,336.87
PITON P/MAD SOLDADO  22 -  80 x 50,450812978,PZ,337.35
CINTA PASACABLES FLEJE 10 MT,413062942,PZ,337.52
CAÃ‘O RIEGO GREEN 1     x 25 MT,451305302,PZ,340.48
TORNILLO TIRAFONDO GALV 3/16x1 3/4,451305602,PZ,340.48
MACHO URANGA A/RAPIDO NC  3/8  x 16,451305620,PZ,340.48
MECHA NEIKE WIDIA CORTA  8 MM,450302745,PZ,343.46
PITON P/MAD SOLDADO  26 - 120 x 25,450801755,PZ,344.82
CAÃ‘O ALTA PRESION ROJO 12 MM x50 MT,451305627,PZ,345.99
CAÃ‘O HIDROCARBURO  6 - 10  x 50 MT,451305633,PZ,345.99
GRIFERIA VENUS DUCHA ARTIC BLANCO,424504952,PZ,346.32
TORNILLO TIRAFONDO GALV 3/16x2 1/2,451305292,PZ,346.37
CAÃ‘O HIDROCARBURO 10 - 16  x 50 MT,451305596,PZ,346.37
CLAVO ESPIRALADO FRACC  3 1/2,424575181,PZ,348.77
CABLE CORDON  1.5 MM 1 x 19,450810952,PZ,349.38
MECHA EZETA CILINDRICA A/R  0.70 MM,450906028,PZ,350
CLAVO ESPIRALADO 5      x 20 KG,424575249,PZ,350.96
CLAVO ESPIRALADO 3 1/2  x 15 KG,450816455,PZ,351
CABO P/HORQUILLA RECTO S/REGATON,450803634,PZ,351.92
CANILLA SIFOLIMP PVC 1/2 SERVICIO,424593697,PZ,352.07
CANILLA DUKE METAL NIQ ESFERA 1,451305425,PZ,352.07
CANILLA DUKE METAL NIQ ESFERA   3/4,451305426,PZ,352.07
CANILLA DUKE METAL NIQ ESFERA   1/2,451305427,PZ,352.07
CINTA BLANCA C/3 RAYAS x 100 MT,451305428,PZ,352.07
CANILLA MET DOBLE  P/LAVARROPA 1/2,451305429,PZ,352.07
POLIET ECO 3 x 200 x  50 CRISTAL,451305430,PZ,352.07
PINTURA MATRA AEROSOL AMARILLO,451305431,PZ,352.07
MACHO URANGA A/RAPIDO NC  5/16 x 18,451305621,PZ,352.07
PALA GHERARDI FORJ ANCHA        C/L,450806023,PZ,352.43
CINTA PASACABLES FLEJE 25 MT,450811896,PZ,353.5
LIJA AA FENOB G. 60   150 x 45000,450802957,PZ,353.6
TOR P/AGUJ C/TROMP P/MAD  8 x 2,450409100,PZ,355.273055004
TOR P/AGUJ C/TROMP P/MAD  8 x 2 1/2,450409101,PZ,355.273055004
ESPATULA S JUANA ENDUIR 160 MM,451305184,PZ,362.25
ESC BARREHOJA EL ABUELO PLASTICA,451305189,PZ,362.25
ESCARDILLO CORAZON Y 2 PUAS 78 MM,451305190,PZ,362.25
ESCARDILLO CORAZON Y 2 PUAS 67 MM,451305191,PZ,362.25
CLAVO ACERO GALV 3.0 - 50 x 100,451404427,PZ,363
TORNILLO TIRAFONDO GALV 5/16x4,451305320,PZ,363.47
TORNILLO TIRAFONDO GALV 5/16x4 1/2,451305321,PZ,363.47
GRAMPA P/CERCO 10-25 MM,450813699,PZ,366.88
ENROLLADOR REGADOR C/BASE,450800585,PZ,369.86
TOR P/MECHA WIN 10 - 24 x 1 7/16,424593698,PZ,372.97
HORM ALLEMANDI DUAL TARRO  12x 1 KG,451305366,PZ,374.87
RIEGO REGADOR 5V ACOPLE ESPIGA,424564885,PZ,375.34
CORREA SECCION A N.40,450811888,PZ,375.44
DESTAPACAÃ‘ERIA CINTA ACERO 10 MT,450814052,PZ,377.83
CHAIRA BIASSONI LISA  8 - 203 MM,424500507,PZ,378
MECHA MAX   JUEGO A/R x 6 UNID,422000590,CJ,379.6
BIS FICHA P/SOLD REF  80- 8   x 2.5,450814018,PZ,379.6
BANDA AA TELA  64x410 O/A MAD G.120,424595651,PZ,380.07
CLAVO P/PARIS FRACC  1,450814093,GL,381.56
RIEGO PISTOLA ACOPLE RAPIDO,450813737,PZ,382.2
LIMPIAMANOS ALLEMANDI PASTA   x6 KG,451305372,PZ,383.8
INSEC ALLEMANDI LIQ 12 x  500 CM3,451305373,PZ,383.8
CEMENTO 81 DE CONTACTO  x    1/4 LT,451305545,PZ,383.8
CEMENTO 81 DE CONTACTO  x    1/2 LT,451305546,PZ,383.8
CEMENTO 81 DE CONTACTO  x  1     LT,451305547,PZ,383.8
PITON HO PUL ESCUAD  20 -  60 x 100,424565514,PZ,384.17
